id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-02-2022 12:00:00",PM2.5,50,88,72,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-02-2022 12:00:00",PM10,63,93,78,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-02-2022 12:00:00",NO2,8,27,14,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-02-2022 12:00:00",NH3,3,4,4,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-02-2022 12:00:00",SO2,11,20,16,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-02-2022 12:00:00",CO,2,43,23,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-02-2022 12:00:00",OZONE,39,79,58,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-02-2022 12:00:00",PM2.5,62,136,85,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-02-2022 12:00:00",PM10,85,128,104,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-02-2022 12:00:00",NO2,10,33,18,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-02-2022 12:00:00",NH3,3,5,4,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-02-2022 12:00:00",SO2,2,12,7,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-02-2022 12:00:00",CO,4,40,25,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-02-2022 12:00:00",OZONE,41,70,53,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","10-02-2022 12:00:00",PM2.5,50,79,64,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","10-02-2022 12:00:00",PM10,55,84,68,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","10-02-2022 12:00:00",NO2,7,41,23,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","10-02-2022 12:00:00",NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","10-02-2022 12:00:00",SO2,5,10,8,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","10-02-2022 12:00:00",CO,35,49,40,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","10-02-2022 12:00:00",OZONE,27,47,34,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","10-02-2022 12:00:00",PM2.5,55,301,133,NA
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","10-02-2022 12:00:00",PM10,86,325,162,NA
